id,foreignkey,ingredients
,1,"4 Boneless, Skinless Chicken Breasts"
,1,1 Tbsp Ancho Chile Paste
,1,2 Tbsps Crème Fraîche
,1,3 Tbsps Golden Raisins
,2,4 oz Cremini Mushrooms 
,2,¾ lb Yukon Gold Potatoes
,3,1 Piece Focaccia Bread
,3,1 8-Ounce Can Tomato Sauce
,3,½ lb Fresh Mozzarella Cheese
,3,2 Clementines
,3,2 cloves Garlic
,3,2 Romaine Lettuce Hearts
,3,1 lb Broccoli
,3,1 oz Golden Or Red Sweet Piquante Peppers
,3,2 Tbsps Crème Fraîche
,3,1 Tbsp Dijon Mustard
,3,½ cup Basil & Cashew Pesto (Contains Pine Nuts)
,3,⅓ cup Shaved Parmesan Cheese
,3,"1 Tbsp Italian Seasoning (Whole Dried Basil, Sage, Oregano, Savory, Rosemary, Thyme, & Marjoram)"
,4,1½ lbs Pizza Dough
,4,3 cloves Garlic
,4,1 Romaine Lettuce Heart
,4,1 lb Broccoli
,4,1 cup Part-Skim Ricotta Cheese
,4,1 8-Ounce Can Tomato Sauce
,4,½ lb Fresh Mozzarella Cheese
,4,¼ cup Grated Parmesan Cheese
,4,2 oz Black Cerignola Olives
,4,"1 Tbsp Italian Seasoning (Whole Dried Basil, Sage, Oregano, Savory, Rosemary, Thyme, & Marjoram) "
,4,1 Lemon
,5,2 Tbsps Crème Fraîche
,5,¼ tsp Crushed Red Pepper Flakes 
,5,3 Tbsps All-Purpose Flour 
,5,¼ cup Grated Pecorino Cheese
,6,6 oz Bucatini Pasta
,6,1 14-Ounce Can Datterini Tomatoes
,6,2 cloves Garlic
,6,2 Tbsps Butter
,6,1 Tbsp Capers
,6,1 lb Broccoli
,6,¾ oz Grana Padano Cheese
,6,1 oz Kalamata Olives
,6,¼ tsp Crushed Red Pepper Flakes
,6,"1 Tbsp Italian Seasoning (Whole Dried Basil, Sage, Oregano, Savory, Rosemary, Thyme, & Marjoram)"
,7,8 Flour Tortillas
,7,¾ cup Jasmine Rice 
,7,1 28-Ounce Can Whole Peeled Tomatoes
,7,4 oz Cremini Mushrooms
,7,3 cloves Garlic
,7,1 Yellow Onion
,7,1 bunch Chives
,7,2 Tbsps Ancho Chile Paste
,7,"1 Tbsp Mexican Spice Blend (Ancho Chile Powder, Sweet Paprika, Garlic Powder, Ground Cumin, & Whole Mexican Oregano)"
,7,½ lb White Cheddar Cheese
,7,½ cup Sour Cream
,8,21 oz Wild Alaskan Pollock Fillets
,8,2 Cage-Free Farm Eggs
,8,2 Tbsps Sweet Pickle Relish
,8,1 Romaine Lettuce Heart
,8,"1 Tbsp Weeknight Hero Spice Blend (Garlic Powder, Onion Powder, Smoked Paprika, & Whole Dried Parsley) "
,8,1¼ cups Panko Breadcrumbs
,8,¼ cup Creamy Mustard Sauce
,9,10 oz Chopped Chicken Breast
,9,1 head Baby Bok Choy
,9,¾ cup Jasmine Rice
,9,2 cloves Garlic
,9,1 Tbsp Rice Vinegar
,9,1 1-Inch Piece Ginger
,9,1 tsp Sriracha
,9,1 Tbsp Honey
,9,1 Tbsp Sesame Oil 
,9,¼ cup Cornstarch
,9,2 Tbsps Hoisin Sauce
,10,"4 Boneless, Center-Cut Pork Chops "
,10,2 Carrots
,10,1 bunch Chives
,10,2 Tbsps Tahini
,10,2 Tbsps Soy Sauce
,10,¾ lb Fresh Wonton Noodles
,10,2 tsps Sambal Oelek
,10,1 1-Inch Piece Ginger
,10,¼ cup Hoisin Sauce
,11,4 Skin-On Barramundi Fillets
,11,½ cup Plain Greek Yogurt
,11,1⅛ lbs Yukon Gold Potatoes 
,11,"1 Tbsp Za'atar Seasoning (Ground Sumac, Sesame Seeds, Salt, Ground Thyme, Whole Dried Oregano, & Crushed Aleppo Pepper)"
,12,4 Cage-Free Farm Eggs 
,12,1 cup Part-Skim Ricotta Cheese 
,12,1 Romaine Lettuce Heart 
,12,2 Tbsps Sliced Roasted Almonds
,12,"1 Tbsp Cajun Spice Blend (Smoked Paprika, Ground Yellow Mustard, Onion Powder, Garlic Powder, Whole Dried Oregano, Whole Dried Thyme, & Cayenne Pepper) "
,12,2 Tbsps Crème Fraîche
,13,4 Flour Tortillas 
,13,3 oz Radishes
,13,1 Orange 
,13,¾ lb Yukon Gold Potatoes 
,13,6 oz Cremini Mushrooms 
,13,1 Shallot 
,13,3 Tbsps Roasted Peanuts
,13,¼ cup Sour Cream
,13,1 oz Sliced Pickled Jalapeño Pepper
,13,"1 Tbsp Spanish Spice Blend (Smoked Paprika, Ground Cumin, Ground Coriander, Dried Mexican Oregano, Cayenne Pepper, & Ground Cinnamon) "
,13,1 Romaine Lettuce Heart 
,13,2 Tbsps Rice Vinegar
,14,"4 Boneless, Skinless Chicken Breasts "
,14,¼ cup All-Purpose Flour
,14,½ cup Grated Parmesan Cheese
,14,"1 Tbsp Weeknight Hero Spice Blend (Garlic Powder, Onion Powder, Smoked Paprika, & Whole Dried Parsley)
"
,15,2 Potato Buns 
,15,1 Sweet Potato 
,15,2 oz Cheddar Cheese
,15,1 oz Sweet Piquante Peppers 
,15,2 Tbsps Mayonnaise 
,15,"1 tsp Pimento Cheese Spice Blend (Garlic Powder, Ground Yellow Mustard, & Sugar)"
,16,¾ lb Yukon Gold Potatoes 
,16,10 oz Ground Pork Chorizo 
,16,2 Tbsps Crème Fraîche 
,16,2 Tbsps Grated Cotija Cheese
,17,2 Cage-Free Farm Eggs
,17,½ cup Fregola Sarda Pasta 
,17,1 clove Garlic 
,17,1 lb Broccoli
,17,1 Red Onion 
,17,1 bunch Mint 
,17,2 Tbsps Tahini
,17,1 oz Pecorino Romano Cheese
,17,"1 Tbsp Za'atar Seasoning (Ground Sumac, Sesame Seeds, Salt, Ground Thyme, Whole Dried Oregano, & Crushed Aleppo Pepper) "
,17,3 Tbsps Roasted Almonds 
,17,1 Lemon
,18,⅔ cup Cracked Freekeh 
,18,½ cup Sheep's Milk Yogurt 
,18,2 Carrots 
,18,2 cloves Garlic 
,18,1 Lemon 
,18,1 bunch Mint
,18,2 Dried Medjool Dates 
,18,2 Tbsps Pickled Peruvian Peppers
,18,1¾ oz Barrel-Aged Feta Cheese
,18,2 Tbsps Roasted Almonds 
,18,¼ tsp Crushed Red Pepper Flakes 
,18,¾ lb Brussels Sprouts
,19,2 Cage-Free Farm Eggs 
,19,2 cloves Garlic 
,19,1 head Cauliflower 
,19,1 Lemon 
,19,2 Tbsps Butter 
,19,1 Shallot
,19,1 Tbsp Capers
,19,3 Tbsps Panko Breadcrumbs
,19,¼ cup Grated Parmesan Cheese
,20,1 lb Sweet Potatoes 
,20,4 oz Cranberries 
,20,½ lb Brussels Sprouts
,20,2 Tbsps Apple Cider Vinegar 
,20,2 Tbsps Sugar 
,20,1 1-Inch Piece Ginger 
,20,¼ cup Roasted Walnuts 
,20,"1 Tbsp Weeknight Hero Spice Blend (Garlic Powder, Onion Powder, Smoked Paprika, & Whole Dried Parsley)"
,21,3 Tbsps Panko Breadcrumbs 
,21,2 Tbsps All-Purpose Flour 
,21,1 Tbsp Apple Cider Vinegar
,21,"1 Tbsp Southern Spice Blend (Onion Powder, Garlic Powder, Ground Yellow Mustard, Smoked Paprika, & Cayenne Pepper)"
,22,6 oz Whole Grain Pipe Rigate Pasta 
,22,2 oz Roasted Piquillo Peppers 
,22,2 Tbsps Grated Parmesan Cheese 
,22,2 Tbsps Sliced Roasted Almonds 
,23,½ cup Jasmine Rice 
,23,1¾ cups Light Coconut Milk 
,23,1 Lime 
,23,1 Yellow Onion 
,23,1 bunch Mint
,23,2 Tbsps Dried Mung Beans 
,23,1½ Tbsps Yellow Curry Paste 
,23,1 1-Inch Piece Ginger 
,23,1 Tbsp Sugar 
,23,½ lb Baby Bok Choy
,24,1 Turkey Breast Roast 
,24,⅔ cup Semi-Pearled Farro 
,24,1 Apple 
,24,1 Lemon 
,24,1 Endive 
,24,1 bunch Chives 
,24,2 Tbsps Butter 
,24,1 Shallot
,24,1 Tbsp Honey 
,24,1 Tbsp Whole Grain Dijon Mustard
,25,2 Skin-On Salmon Fillets 
,25,2 cloves Garlic 
,25,6 oz Carrots 
,25,1 Lemon 
,25,¾ lb Yukon Gold Potatoes 
,25,1 Pinch Saffron 
,25,1 Tbsp Honey 
,25,½ cup Plain Greek Yogurt 
,25,½ tsp Crushed Aleppo Pepper 
,25,½ tsp Ground Cumin
,26,"2 Boneless, Skinless Chicken Breasts "
,26,¾ lb Yukon Gold Potatoes 
,26,2 Tbsps Crème Fraîche 
,26,1 Tbsp Sherry Vinegar
,27,2 cloves Garlic
,27,2 Russet Potatoes
,27,1 bunch Chives
,27,3 Tbsps Creamy Mustard Sauce
,27,2 Tbsps Butter
,27,1 Tbsp Red Wine Vinegar
,28,4 Potato Buns
,28,2 cloves Garlic
,28,2 Scallions
,28,2 Sweet Potatoes
,28,½ lb Baby Bok Choy
,28,2 Tbsps Hoisin Sauce
,28,2 Tbsps Sweet White Miso Paste 
,28,½ oz Dried Shiitake Mushrooms
,28,¼ cup Mayonnaise
,29,6 oz Lumaca Rigata Pasta 
,29,2 cloves Garlic 
,29,1 8-Ounce Can Tomato Sauce 
,29,1½ tsps Calabrian Chile Paste 
,29,2 Tbsps Crème Fraîche 
,29,2 Tbsps Sliced Roasted Almonds 
,29,2 Tbsps Verjus Blanc
,30,1 Endive
,30,2 cloves Garlic
,30,2 oz Smoked Gouda Cheese 
,30,2 oz Smoked Gouda Cheese 
,30,1 Red Onion 
,30,¾ lb Pizza Dough
,30,4 oz Cremini Mushrooms 
,30,1 Apple 
,30,1 Tbsp Honey 
,30,1 Tbsp Apple Cider Vinegar
,31,4 Flour Tortillas 
,31,2 Scallions 
,31,6 oz Chioggia Beet 
,31,1 Jalapeño Pepper 
,31,1 Lime 
,31,1 Navel Orange 
,31,3 Tbsps Roasted Peanuts
,31,2 oz White Cheddar Cheese
,31,¼ cup Mexican Crema 
,31,"1 Tbsp Mexican Spice Blend (Ancho Chile Powder, Smoked Paprika, Garlic Powder, Ground Cumin, & Dried Mexican Oregano)"
,32,1 lb Korean Rice Cakes 
,32,2 cloves Garlic 
,32,2 heads Baby Bok Choy 
,32,2 Tbsps Soy Glaze 
,32,1½ Tbsps Gochujang 
,32,1 1-Inch Piece Ginger
,32,¼ cup Black Bean Sauce
,32,¼ cup Crème Fraîche
,32,1 bunch Chives
,33,2 Cage-Free Farm Eggs 
,33,1 1-Inch Piece Ginger
,33,1½ Tbsps Soy Marinade 
,33,2 Tbsps Roasted Peanuts
,34,10 oz Chopped Chicken Breast 
,34,1¾ cups Light Coconut Milk 
,34,3 Carrots 
,34,1 Lime 
,34,1 head Baby Bok Choy
,34,½ cup Dried Shiitake Mushrooms 
,34,2 tsps Golden Mountain Sauce 
,34,1½ Tbsps Yellow Curry Paste
,35,½ cup Black Beluga Lentils 
,35,2 cloves Garlic 
,35,1 Lemon 
,35,½ lb Broccoli 
,35,1 bunch Parsley 
,35,2 Tbsps Butter 
,35,1 oz Golden Or Red Sweet Piquante Peppers 
,35,1 Tbsp Capers
,36,2 Grassfed Strip Steaks 
,36,4 oz Cremini Mushrooms 
,36,1 1-Inch Piece Ginger 
,36,2 Tbsps Sweet Chili Sauce
,37,"2 Boneless, Skinless Chicken Breasts "
,37,2 Carrots 
,37,1 Red Onion 
,37,2 cloves Garlic 
,37,½ cup French Green Lentils 
,37,1 bunch Collard Greens 
,37,2 Tbsps Tomato Paste 
,37,¼ tsp Crushed Red Pepper Flakes 
,37,1 Tbsp Capers 
,37,1 Tbsp Apple Cider Vinegar
,37,2 Tbsps Crumbled Goat Cheese 
,37,"1 Tbsp Tuscan Spice Blend (Ground Fennel Seeds, Whole Fennel Seeds, Ground Rosemary, & Ground Sage)"